SL No.,Ayurveda Term,Sentence where it appears,Classification
1,Pitta,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 6 
 
11.2 How Ancient Seers Developed Science Of Ayurveda 
11.3 Abstinence: Brahmacharya – The greatest tool to improve 
concentration 
12th Chapter - Vata Kalakaleeya Adhyaya - Vata Dosha – Qualities, 
Functions, Imbalance 
12.1 Understand Vata Dosha By Its Functions 
12.2 Understand Pitta Dosha By Its Functions 
12.3 Understand Kapha Dosha By Its Functions 
13th Chapter - Snehakarma – reparation For Panchakarma 
13.1 Oleation – Snehakarma Dose, Benefits, Side Effects, Management 
13.2 Health Benefits Of Ghee – Complete Ayurvedic Details 
13.3 Sesame and Sesame Oil Benefits – Total Ayurveda Details 
13.4 Castor Oil Benefits, Research, Side Effects, How To Use, Dose 
14th Chapter - Sweating Treatment – Swedana Types And Methods  
14.1 Why You Should Sweat – To Treat Disease, For Better Health 
15th Chapter - Rules For Vamana and Virechana Treatment 
15.1 Vamana Therapy – Right Method, Side Effects, Management 
15.2 Virechana Therapy – Right Method, Side Effects, Management 
16th Chapter – Chikitsa Prabhuteeya Adhyaya - Benefits of Vamana and 
Virechana Treatment Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 7 
 
17th Chapter  – Kiyanta Shiraseeya Adhyaya - Diseases Of Head, Heart 
And Abscess  
17.1 Dhatu – 7 Body Tissues As Explained In Ayurveda 
17.2 Decrease Of Tissues – Dhatu Kshaya – Reasoning, Symptoms 
17.3 What is Ojas?",Symptom
2,Vata,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 6 
 
11.2 How Ancient Seers Developed Science Of Ayurveda 
11.3 Abstinence: Brahmacharya – The greatest tool to improve 
concentration 
12th Chapter - Vata Kalakaleeya Adhyaya - Vata Dosha – Qualities, 
Functions, Imbalance 
12.1 Understand Vata Dosha By Its Functions 
12.2 Understand Pitta Dosha By Its Functions 
12.3 Understand Kapha Dosha By Its Functions 
13th Chapter - Snehakarma – reparation For Panchakarma 
13.1 Oleation – Snehakarma Dose, Benefits, Side Effects, Management 
13.2 Health Benefits Of Ghee – Complete Ayurvedic Details 
13.3 Sesame and Sesame Oil Benefits – Total Ayurveda Details 
13.4 Castor Oil Benefits, Research, Side Effects, How To Use, Dose 
14th Chapter - Sweating Treatment – Swedana Types And Methods  
14.1 Why You Should Sweat – To Treat Disease, For Better Health 
15th Chapter - Rules For Vamana and Virechana Treatment 
15.1 Vamana Therapy – Right Method, Side Effects, Management 
15.2 Virechana Therapy – Right Method, Side Effects, Management 
16th Chapter – Chikitsa Prabhuteeya Adhyaya - Benefits of Vamana and 
Virechana Treatment Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 7 
 
17th Chapter  – Kiyanta Shiraseeya Adhyaya - Diseases Of Head, Heart 
And Abscess  
17.1 Dhatu – 7 Body Tissues As Explained In Ayurveda 
17.2 Decrease Of Tissues – Dhatu Kshaya – Reasoning, Symptoms 
17.3 What is Ojas?",Symptom
3,Kapha,"Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 6 
 
11.2 How Ancient Seers Developed Science Of Ayurveda 
11.3 Abstinence: Brahmacharya – The greatest tool to improve 
concentration 
12th Chapter - Vata Kalakaleeya Adhyaya - Vata Dosha – Qualities, 
Functions, Imbalance 
12.1 Understand Vata Dosha By Its Functions 
12.2 Understand Pitta Dosha By Its Functions 
12.3 Understand Kapha Dosha By Its Functions 
13th Chapter - Snehakarma – reparation For Panchakarma 
13.1 Oleation – Snehakarma Dose, Benefits, Side Effects, Management 
13.2 Health Benefits Of Ghee – Complete Ayurvedic Details 
13.3 Sesame and Sesame Oil Benefits – Total Ayurveda Details 
13.4 Castor Oil Benefits, Research, Side Effects, How To Use, Dose 
14th Chapter - Sweating Treatment – Swedana Types And Methods  
14.1 Why You Should Sweat – To Treat Disease, For Better Health 
15th Chapter - Rules For Vamana and Virechana Treatment 
15.1 Vamana Therapy – Right Method, Side Effects, Management 
15.2 Virechana Therapy – Right Method, Side Effects, Management 
16th Chapter – Chikitsa Prabhuteeya Adhyaya - Benefits of Vamana and 
Virechana Treatment Dr JV Hebbar – easyayurveda.com – Charaka Samhita Sutrasthana Made Easy 
Page 7 
 
17th Chapter  – Kiyanta Shiraseeya Adhyaya - Diseases Of Head, Heart 
And Abscess  
17.1 Dhatu – 7 Body Tissues As Explained In Ayurveda 
17.2 Decrease Of Tissues – Dhatu Kshaya – Reasoning, Symptoms 
17.3 What is Ojas?",Symptom
4,Pitta,"Ayurveda 
17.4 Madhumeha – Ayurvedic understanding of Diabetes mellitus 
17.5 Diabetic carbuncle – Ayurvedic Understanding And Treatment 
Modalities 
18th Chapter  – Trishotheeya Adhyaya - Types Of Swelling 
19th Chapter – Ashtodareeya Adhyaya - Ayurvedic Disease 
Classification  
20th Chapter – Maharoga Adhyaya - Qualities, Diseases, Treatment Of 
Vata, Pitta and Kapha  
 
20.1 Vata Dosha Dominance In Different Body Parts – How it affects 
health?",Symptom
5,Vata,"Ayurveda 
17.4 Madhumeha – Ayurvedic understanding of Diabetes mellitus 
17.5 Diabetic carbuncle – Ayurvedic Understanding And Treatment 
Modalities 
18th Chapter  – Trishotheeya Adhyaya - Types Of Swelling 
19th Chapter – Ashtodareeya Adhyaya - Ayurvedic Disease 
Classification  
20th Chapter – Maharoga Adhyaya - Qualities, Diseases, Treatment Of 
Vata, Pitta and Kapha  
 
20.1 Vata Dosha Dominance In Different Body Parts – How it affects 
health?",Symptom
6,Kapha,"Ayurveda 
17.4 Madhumeha – Ayurvedic understanding of Diabetes mellitus 
17.5 Diabetic carbuncle – Ayurvedic Understanding And Treatment 
Modalities 
18th Chapter  – Trishotheeya Adhyaya - Types Of Swelling 
19th Chapter – Ashtodareeya Adhyaya - Ayurvedic Disease 
Classification  
20th Chapter – Maharoga Adhyaya - Qualities, Diseases, Treatment Of 
Vata, Pitta and Kapha  
 
20.1 Vata Dosha Dominance In Different Body Parts – How it affects 
health?",Symptom
7,Diabetes,"Ayurveda 
17.4 Madhumeha – Ayurvedic understanding of Diabetes mellitus 
17.5 Diabetic carbuncle – Ayurvedic Understanding And Treatment 
Modalities 
18th Chapter  – Trishotheeya Adhyaya - Types Of Swelling 
19th Chapter – Ashtodareeya Adhyaya - Ayurvedic Disease 
Classification  
20th Chapter – Maharoga Adhyaya - Qualities, Diseases, Treatment Of 
Vata, Pitta and Kapha  
 
20.1 Vata Dosha Dominance In Different Body Parts – How it affects 
health?",Disease
8,Pitta,"20.2 Pitta Dosha Dominance In Different Body Parts – 8 Things To 
Know 
20.3 Kapha Dosha Dominant Places in Our Body 
20.4 How To Observe Vata Dosha Imbalance Symptoms In Your Body 
By Yourself?",Symptom
9,Vata,"20.2 Pitta Dosha Dominance In Different Body Parts – 8 Things To 
Know 
20.3 Kapha Dosha Dominant Places in Our Body 
20.4 How To Observe Vata Dosha Imbalance Symptoms In Your Body 
By Yourself?",Symptom
10,Kapha,"20.2 Pitta Dosha Dominance In Different Body Parts – 8 Things To 
Know 
20.3 Kapha Dosha Dominant Places in Our Body 
20.4 How To Observe Vata Dosha Imbalance Symptoms In Your Body 
By Yourself?",Symptom
